Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
367.414,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
371.446,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
371.914,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,attempted attack,Overt aggression,,,POINT
372.886,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,tail beat,Restrained aggression,presentation fish,,POINT
372.915,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
373.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
374.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group male,,POINT
379.386,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,attempted attack,Overt aggression,,,POINT
381.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
382.636,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
383.812,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,attempted attack,Overt aggression,,,POINT
388.136,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
389.886,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
400.136,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
404.120,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell escape,Escape,,,POINT
404.160,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Elo,Presence,,,START
404.200,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell escape,Escape,,,POINT
404.200,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,different shell than what's marked as its home shell,START
404.280,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell escape,Escape,,,POINT
404.280,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,START
404.320,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,START
