Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
686.193,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
688.072,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
691.072,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
699.405,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
707.940,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
707.988,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
712.776,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,tailbeat,,,START
713.524,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,tailbeat,,,STOP
715.677,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,tailbeat,,,START
716.775,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,tailbeat,,,STOP
722.276,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
726.359,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
726.861,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
727.239,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
727.785,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,START
729.239,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
729.284,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,STOP
729.692,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
736.072,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,frontal,,,START
736.443,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
738.156,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,frontal,,,STOP
738.655,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
739.656,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
742.525,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
747.110,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,tailbeat,,,START
750.608,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,tailbeat,,,STOP
753.692,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,head-down,,,START
753.694,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,head-down,,,STOP
753.823,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,frontal,,,START
754.700,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
755.572,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,frontal,,,STOP
755.600,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,bite,,,START
755.800,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
756.400,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,bite,,,STOP
756.933,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
758.000,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
761.133,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
761.400,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
770.951,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
772.267,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
783.035,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
783.702,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
784.957,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
785.400,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
785.785,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
785.871,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
793.452,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,frontal,,,START
794.371,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
795.202,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,frontal,,,STOP
795.704,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
795.952,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
796.705,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
797.707,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
798.451,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
798.952,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
800.202,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
800.955,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
803.452,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
