Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
438.542,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
443.042,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
453.791,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
454.792,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
455.420,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
459.669,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,shooting out,Restrained aggression,presentation fish,,POINT
459.670,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
459.670,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
462.045,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_1,shooting out,Restrained aggression,group juvenile,,POINT
465.920,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
466.570,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,tail beat,Restrained aggression,presentation fish,,POINT
466.920,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group female,,POINT
467.420,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group female,,POINT
467.670,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,attempted attack,Overt aggression,,,POINT
467.670,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group female,,POINT
468.975,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
502.419,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell escape,Escape,,,POINT
502.420,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
512.922,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,START
548.171,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
